Node ID,TI,Clusters 0,Clusters 1,Clusters 2,Sentiment Positive Score,Sentiment Negative Score,Sentiment Combined Score,Sentiment Summary,Strong Language Score,Betweenness Centrality,Degree,Triangles,Neighbors,Number of features,Leverage Centrality,Eigenvector Centrality,Pagerank,Clustering Coefficient,Closeness,Flow,K-shell,Inter-Cluster Connectivity,Initial Degree,Tags,Keywords,LA,RP,U2,U1,PU,PT,TC,D2,GP,OI,MA,PM,J9,VL,PI,ID,PD,AF,RI,PA,PG,BA,AU,BF,BE,CR,CA,BN,GA,BS,C1,BP,SP,JI,IS,SU,FX,FU,UT,DT,SC,SE,SI,HO,WC,DE,SN,SO,DI,Z9,EM,EI,PY,PN,CT,CL,EP,AR,CY,NR
0,Foaming of blowing agent-free aluminium powder compacts,exposure / laboratory / industry / promoting / moisture / filling / experiments were conducted / dust,exposure / laboratory / industry / promoting / moisture / recovery / filling / experiments were conducted,dense / foaming / larger / numerically,3.332757248,1.186814401,0.68595363,positive,,3363,6,3,,,,,0.002041321,,,0.001733262,,0.666666667,6,N/A,foaming; gas; pressure; step; water vapour; vapour; uniaxial; solidified; size distributions; situ x ray; release; ray radioscopy; radioscopy; pure al; powder metallurgical; metallurgical; metallic powders; melting temperature; melted; hydroxides; foamed; expansion; dissolved; bar; ambient; additions; working; sources; foams; compaction; analysed; source; pm; pore size; distributions; agent; heated; route; foam; melting; quantitative; hot; situ; precursors; provide; metallic; pore; precursor; result; water; novel; produced; discussed; pure; samples; observed; powders; method; size; study; ray; powder; temperature; al,English,"Garcia-Moreno, F (reprint author), Hahn Meitner Inst Berlin GmbH, SF3, Glienicker Str 100, D-14109 Berlin, Germany.",3,0,ELSEVIER SCIENCE BV,J,17,,,"Banhart, John/0000-0003-4480-7730",,,COLLOID SURFACE A,309,AMSTERDAM,ATMOSPHERE,1-Nov,"Garcia-Moreno, Francisco; Banhart, John","Banhart, John/E-8694-2011","PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",6,,"Garcia-Moreno, F; Banhart, J",,N/A,,,,220XW,,"Hahn Meitner Inst Berlin GmbH, SF3, D-14109 Berlin, Germany; Tech Univ Berlin, D-10623 Berlin, Germany",264,,Colloid Surf. A-Physicochem. Eng. Asp.,3,,,,WOS:000250191600034,Article; Proceedings Paper,Chemistry,,,,"Chemistry, Physical",metal foam; nucleation; gas pressure; gas source; adsorbates,0927-7757,COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,10.1016/j.colsurfa.2007.03.017,19,garcia-moreno@hmi.de,,1-Jan-07,,6th Eufoam Conference,"Potsdam, GERMANY",269,,"JUL 02-06, 2006",9
1,Investigation into cold extrusion of aluminum billets using three-dimensional finite element method,deformation / purity / finite element / cold,deformation / purity / finite element / cold,finite element / acta materialia / fatigue / plastic,1.328910351,7.56461693,-1.956011503,negative,,3303,6,5,,,,,0.001846754,,,0.001736406,,0.5,6,N/A,extrusion; die; rigid; billet; plastic; finite element; finite; element; tm; suitability; stress strain; semi; plastic deformation; numerical analysis; modeling; investigates; employs; deformation behavior; deform; container; bodies; billets; assumed; aluminum billets; systematically; velocity; influences; confirm; factors; distributions; damage; cold; load; factor; friction; simulation; flow; numerical; investigate; change; angle; stress; strain; deformation; relative; ratio; induced; examined; three dimensional; dimensional; current; behavior; distribution; conditions; paper; three; analysis; temperature; aluminum,English,"Chen, DC (reprint author), Natl Changhua Univ Educ, Dept Ind Educ & Technol, Changhua 500, Taiwan.",3,1,ELSEVIER SCIENCE SA,J,17,,,,,,J MATER PROCESS TECH,192,LAUSANNE,ROD EXTRUSION; PREDICTION; DIE; FRACTURE,1-Oct,"Chen, Dyi-Cheng; Syu, Sheng-Kai; Wu, Cing-Hong; Lin, Sin-Kai",,"PO BOX 564, 1001 LAUSANNE, SWITZERLAND",6,,"Chen, DC; Syu, SK; Wu, CH; Lin, SK",,N/A,,,,208IX,,"Natl Changhua Univ Educ, Dept Ind Educ & Technol, Changhua 500, Taiwan",188,,J. Mater. Process. Technol.,,,,,WOS:000249314100028,Article,Engineering; Materials Science,,,,"Engineering, Industrial; Engineering, Manufacturing; Materials Science, Multidisciplinary",rigid-plastic finite element; three-dimensional extrusion; extrusion ratio,0924-0136,JOURNAL OF MATERIALS PROCESSING TECHNOLOGY,10.1016/j.jmatprotec.2007.04.067,23,dyi3510@ms46.hinet.net,,1-Jan-07,,7th Asia Pacific Conference on Materials Processing (APCMP 2006),SINGAPORE,193,,"DEC 04-06, 2006",16
2,Through-thickness characterization of microstructure and texture in high purity aluminum processed to high strain by accumulative roll-bonding,deformation / purity / finite element / cold,deformation / purity / finite element / cold,purity / deformation / electron backscatter diffraction / dislocation,1.162796557,3.359677964,-1.407590787,negative,,0,7,14,,,,,0.002224635,,,0.002209514,,0,7,N/A,texture; texture components; lamellar; high concentration; equiaxed; angle boundaries; rolling; composed; regions; components; deformation; boundaries; purity; angle; strain; strain path; small fraction; shear texture; roll bonding; roll; processing route; microstructure and texture; low angle; high angle boundaries; high angle; electron backscatter diffraction; electron backscatter; ebsd; creates; backscatter diffraction; backscatter; arb; aluminum sheets; accumulative roll bonding; accumulative roll; accumulative; coupling; concentration; path; microstructure; thickness; sheets; high purity; processed; fraction; route; shear; characteristic; observations; total; bonding; complex; local; sample; tem; changes; small; conventional; transmission electron microscopy; transmission electron; transmission; processing; structure; characterized; electron; electron microscopy; high; microscopy; diffraction; low; aluminum,English,"Tsuji, N (reprint author), Riso Natl Lab, Dept Mat Res, Ctr Fundamental Res Met Struct Dim 4, DK-4000 Roskilde, Denmark.",13,1,JAPAN INST METALS,J,17,,,"Tsuji, Nobuhiro/0000-0002-2132-1327; ",,,MATER TRANS,48,SENDAI,ELECTRON BACKSCATTER DIFFRACTION; GRAINED MATERIALS; STAINLESS-STEEL; FCC METALS; ARB; RECRYSTALLIZATION; DEFORMATION; ALLOY; SHEAR,AUG,"Kamikawa, Naoya; Tsuji, Nobuhiro; Huang, Xiaoxu; Hansen, Niels","Tsuji, Nobuhiro/F-7951-2010; Kamikawa, Naoya/K-2357-2014","1-14-32, ICHIBANCHO, AOBA-KU, SENDAI, 980-8544, JAPAN",8,,"Kamikawa, N; Tsuji, N; Huang, XX; Hansen, N",,N/A,,,,211GH,,"Riso Natl Lab, Dept Mat Res, Ctr Fundamental Res Met Struct Dim 4, DK-4000 Roskilde, Denmark; Osaka Univ, Grad Sch Engn, Dept Adapt Mach Syst, Suita, Osaka 5650871, Japan",1978,,Mater. Trans.,8,,,,WOS:000249511800002,Article,Materials Science; Metallurgy & Metallurgical Engineering,,,,"Materials Science, Multidisciplinary; Metallurgy & Metallurgical Engineering",accumulative roll-bonding (ARB); ultrafine grains; high purity aluminum; microstructure; local texture,1345-9678,MATERIALS TRANSACTIONS,10.2320/matertrans.MA200702,18,tsuji@ams.eng.osaka-u.ac.jp,1347-5320,1-Jan-07,,,,1985,,,37
3,Determination of the activation energy in a cast aluminium alloy by TEM and DSC,activation energy / grain growth / cold / energies for individual,activation energy / grain growth / cold / sintering,electron microscopy / activation energy / thermal stability / powder materials,2.606797958,4.638571829,-0.922857481,negative,,3431,6,3,,,,,0.001950566,,,0.001758675,,0.166666667,6,N/A,precipitate; average size; ageing; kj; activation energy; mol; growth; activation; stem; size of nm; plot; linear relationship; error; cube; comparable; belongs; attained; arrhenius type; arrhenius; allowing; tem; theta; activated; precipitates; continuous; linear; precipitation; average; relationship; indicates; cu; heating; nm; alloy; sizes; development; electron microscopy; diffusion; behaviour; microscopy; size; type; si; values; transmission electron microscopy; calculated; treatment; transmission electron; scanning electron microscopy; transmission; sem; conditions; determined; microstructure; scanning electron; addition; increased; experimental; electron; energy; thermal; temperature; scanning; observed; process; investigated; al,English,"Ovono, DO (reprint author), Univ Technol Compiegne, Lab Roberval, F-60205 Compiegne, France.",7,1,ELSEVIER SCIENCE SA,J,17,,,,,,J ALLOY COMPD,432,LAUSANNE,SI ALLOYS; CU; KINETICS,25-Apr,"Ovono Ovono, D.; Guillot, I.; Massinon, D.",,"PO BOX 564, 1001 LAUSANNE, SWITZERLAND",6,,"Ovono, DO; Guillot, I; Massinon, D",,N/A,,,,154DF,,"Univ Technol Compiegne, Lab Roberval, F-60205 Compiegne, France; CNRS, Ctr Etud Chim Met, UPR2801, F-94407 Vitry Sur Seine, France; Fondrie Montupet, F-60181 Nogent Sur Oise, France",241,,J. Alloy. Compd.,2,,,,WOS:000245486300046,Article,Chemistry; Materials Science; Metallurgy & Metallurgical Engineering,,,,"Chemistry, Physical; Materials Science, Multidisciplinary; Metallurgy & Metallurgical Engineering",microstructure; intermetallics; precipitation kinetics; activation energy,0925-8388,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2006.05.132,18,delavand.ovono-ovono@utc.fr,,1-Jan-07,,,,246,,,16
4,Transparent Ni2+-doped lithium-alumino-silicate glass-ceramics for broadband near-infrared light source,intensity / energy transfer / visible / excitation,intensity / energy transfer / visible / excitation,glasses / doped lithium / visible / aluminium borate glasses,3.100790819,0,1.956011503,neutral,,6461,6,4,,,,,0.001969699,,,0.001795527,,0.5,6,N/A,transparent; glass ceramics; ceramics; width at half; width; tunable; super; silicate glass; potential applications; lithium alumino silicate; lithium alumino; half maximum; half; full width; fluorescent; eucryptite; embedded; doped lithium; centred; beta eucryptite; amplifier; alumino silicate glass; alumino silicate; alumino; optical; glass; silicate; luminescence; full; lifetime; ni; infrared; nm; beta; room temperature; room; potential; applications; maximum; laser; doped; mu; lithium; observed; temperature,English,"Zhou, SF (reprint author), Zhejiang Univ, State Key Lab Silicon Mat, Hangzhou 310027, Peoples R China.",10,3,IOP PUBLISHING LTD,J,17,,,,,,J PHYS D APPL PHYS,40,BRISTOL,OPTICAL-PROPERTIES; SYSTEM; LASER; EMISSION; NICKEL; STATES; IONS,21-Apr,"Zhou, Shifeng; Feng, Gaofeng; Wu, Botao; Xu, Shiqing; Qiu, Jianrong","Zhou, Shifeng/P-9498-2015","DIRAC HOUSE, TEMPLE BACK, BRISTOL BS1 6BE, ENGLAND",4,,"Zhou, SF; Feng, GF; Wu, BT; Xu, SQ; Qiu, JR",,N/A,,,,168VM,,"Zhejiang Univ, State Key Lab Silicon Mat, Hangzhou 310027, Peoples R China; Chinese Acad Sci, Shanghai Inst Opt & Fine Mech, Shanghai 201800, Peoples R China; China Jiliang Univ, Inst Optoelect Mat & Devices, Coll Informat Engn, Hangzhou 310018, Peoples R China",2472,,J. Phys. D-Appl. Phys.,8,,,,WOS:000246552100030,Article,Physics,,,,"Physics, Applied",N/A,0022-3727,JOURNAL OF PHYSICS D-APPLIED PHYSICS,10.1088/0022-3727/40/8/009,17,sfzhou1981@yahoo.com.cn; qjr@zju.edu.cn,,1-Jan-07,,,,2475,,,17
5,A radiotracer study on the volatilization and transport effects of thermochemical reagents used in the analysis of alumina powders by slurry electrothermal vaporization inductively coupled plasma mass spectrometry,exposure / laboratory / industry / promoting / moisture / filling / experiments were conducted / dust,exposure / laboratory / industry / promoting / moisture / recovery / filling / experiments were conducted,mitochondrial / molecules / transport / exposure,2.011161632,1.075096948,0.279728049,neutral,,1460,7,10,,,,,0.002183264,,,0.00206619,,0,7,N/A,thermochemical; nh; efficiencies; transport; spectrometry; signals; plasma mass spectrometry; plasma mass; nh cl; mass spectrometry; inductively coupled plasma; inductively coupled; inductively; electrothermal; coupled plasma mass; coupled plasma; coupled; cl; zn; reagents; reagent; ms; icp; cr; amounts; mass; plasma; fe; gamma; elements; case; influence; decrease; trace; study the influence; neutron; graphite; generally; furnace; demonstrates; analyte; al o powder; efficiency; spectra; tube; recovery; emitting; considerably; required; radiation; adding; activated; optimized; complete; cases; comparison; sample; changes; maximum; amount; powders; matrix; measured; effects; addition; increase; higher; study; al; degrees; powder,English,"Broekaert, JAC (reprint author), Univ Hamburg, Inst Inorgan & Appl Chem, Martin Luther King Pl 6, D-20146 Hamburg, Germany.",6,0,PERGAMON-ELSEVIER SCIENCE LTD,J,17,,,,,,SPECTROCHIM ACTA B,62,OXFORD,ATOMIC EMISSION-SPECTROMETRY; ETV-ICP-MS; SAMPLE INTRODUCTION; ABSORPTION-SPECTROMETRY; CHEMICAL MODIFIERS; OPTICAL-EMISSION; GRAPHITE-FURNACES; CERAMIC POWDERS; MECHANISMS; EFFICIENCY,FEB,"Peschel, Birgit U.; Herdering, Wilhelm; Broekaert, Jose A. C.",,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",7,,"Peschel, BU; Herdering, W; Broekaert, JAC",,N/A,,,,162KW,,"Univ Hamburg, Inst Inorgan & Appl Chem, D-20146 Hamburg, Germany",109,,Spectroc. Acta Pt. B-Atom. Spectr.,2,,,,WOS:000246087100004,Article,Spectroscopy,,,,Spectroscopy,electrothermal vaporization; inductively coupled plasma mass spectrometry; thermochemical reagents; Al2O3,0584-8547,SPECTROCHIMICA ACTA PART B-ATOMIC SPECTROSCOPY,10.1016/j.sab.2007.01.006,17,jose.broekaert@chemie.uni-hamburg.de,,1-Jan-07,,,,115,,,39
6,Scanning Kelvin probe studies of filiform corrosion on automotive aluminum alloy AA6016,batteries / anodic / electrochemical / cyclic voltammetry,batteries / anodic / electrochemical / cyclic voltammetry,anodic / corrosion was observed / energy efficiency / aa,2.380540891,4.195353382,-0.913223438,negative,,0,1,0,,,,,0.000700263,,,0.00027613,,0,1,N/A,surface layer; head; produces; heat treatment; fast; corrosion; potential; bulk; layer; thermodynamic; slower; simply; potentials; polyvinyl; open circuit; hcl; grain structure; follow; exposed; electrochemical society; driving force; driving; deeper; corrosion was observed; abrasion; abraded; systematically; values; ultrafine; probe; dry; circuit; treatment; society; sic; heat; open; filled; anodic; mu; subsequent; force; electrolyte; characteristic; difference; determine; surface; aa; loss; kinetics; investigate; electrochemical; form; air; activation; associated; sample; lower; proposed; mechanism; thickness; grain; temperatures; paper; metal; increased; scanning; observed; structure; degrees; process,English,"McMurray, HN (reprint author), Univ Coll Swansea, Sch Engn, Mat Res Ctr, Swansea, W Glam, Wales.",19,2,ELECTROCHEMICAL SOC INC,J,17,,,"Williams, Geraint/0000-0002-3399-5142",,,J ELECTROCHEM SOC,154,PENNINGTON,ALMGSI(CU) MODEL ALLOY; HEAT-TREATMENT; INTERGRANULAR CORROSION; ELECTROCHEMICAL-BEHAVIOR; IN-SITU; AA3005; SHEET; INHIBITION; AA2024-T3; LAYER,,"McMurray, H. N.; Coleman, A. J.; Williams, G.; Afseth, A.; Scamans, G. M.","coleman, andrew/I-8949-2012; ","65 SOUTH MAIN STREET, PENNINGTON, NJ 08534 USA",10,,"McMurray, HN; Coleman, AJ; Williams, G; Afseth, A; Scamans, GM",,N/A,,,,173SE,,"Univ Coll Swansea, Sch Engn, Mat Res Ctr, Swansea, W Glam, Wales; Novelis Technol AG, Neuhausen, Switzerland; Innoval Technol, Banbury, England",,,J. Electrochem. Soc.,7,,,,WOS:000246892000035,Article,Electrochemistry; Materials Science,,,,"Electrochemistry; Materials Science, Coatings & Films",N/A,0013-4651,JOURNAL OF THE ELECTROCHEMICAL SOCIETY,10.1149/1.2731035,17,h.n.mcmurray@swan.ac.uk,,1-Jan-07,,,,,,,49
7,Distribution of aluminum and boron in the periodical building units of boron-containing beta zeolites,framework / zeolite / nmr / alkylation,framework / zeolite / nmr / cage,framework / zeolite / nmr / cage,4.208370713,1.780221601,0.513764127,positive,,116,8,16,,,,,0.002199411,,,0.002539107,,0,8,N/A,boron; bea; zeolites; positions; ion exchange; exchange; zeolite; signal intensities; rings; nmr signal intensities; nmr signal; membered rings; membered; ammonium; signal; mas; nmr; intensities; sodium; framework; atoms; nickel; lattice; si; ion; ions; species; zeolite framework; well as aluminum; trigonal; transformed; special distribution; si nmr; si mas; ratios and relative; quantitative contributions; positioned; periodical building units; periodical building; periodical; octahedral; nmr spectroscopy; mas nmr; intensities were calculated; distribution of aluminum; contributions; completely; building units; aluminum atoms; special; deformed; ratios; tetrahedral; units; defect; building; sites; quantitative; free; well; form; beta; relative; modified; calculated; distribution; characterized; spectroscopy; samples; higher; al; three; prepared; structure; aluminum,English,"Koranyi, TI (reprint author), Hungarian Acad Sci, Dept Mol Spect, Inst Struct Chem, Chem Res Ctr, POB 17, H-1525 Budapest, Hungary.",26,5,AMER CHEMICAL SOC,J,17,,,"Koranyi, Tamas/0000-0003-4728-0081",,16869580,J PHYS CHEM B,110,WASHINGTON,MQ MAS NMR; AL-27 MAS; SI/AL RATIOS; BEA ZEOLITES; SI-29; SPECTROSCOPY; NUCLEAR; DEALUMINATION; SUBSTITUTION; MORDENITE,3-Aug,"Koranyi, Tamas I.; Nagy, Janos B.","Koranyi, Tamas/F-2422-2011","1155 16TH ST, NW, WASHINGTON, DC 20036 USA",8,,"Koranyi, TI; Nagy, JB",,N/A,,,,067NI,,"Hungarian Acad Sci, Dept Mol Spect, Inst Struct Chem, Chem Res Ctr, H-1525 Budapest, Hungary; Fac Univ Notre Dame Paix, Lab RMN, B-5000 Namur, Belgium",14728,,J. Phys. Chem. B,30,,,,WOS:000239309500031,Article,Chemistry,,,,"Chemistry, Physical",N/A,1520-6106,JOURNAL OF PHYSICAL CHEMISTRY B,10.1021/jp0623185,17,koranyi@chemres.hu,,1-Jan-06,,,,14735,,,35
8,Laser surface alloying of a marine propeller bronze using aluminium powder Part I: Microstructural analysis and cavitation erosion study,alloy / power / yttrium aluminum garnet / corrosion / quality,alloy / power / yttrium aluminum garnet / corrosion / quality,quality / wear / laser surface alloying / surface roughness,2.88165865,4.186945843,-0.720179094,negative,,2085,9,16,,,,,0.002696379,,,0.00273701,,0.111111111,9,N/A,erosion; cavitation erosion; cavitation; mab; erosion resistance; cavitation erosion resistance; alloyed; laser surface; alloyed layer; phased; microhardness; lsm; ft; received; homogeneous; ch; resistance; grain boundaries; improvement; boundaries; mode; case; laser; test; weak; triple; surface melting; surface alloying; surface alloyed mab; surface alloyed; single phase; sci; recorded; reason; monitored; melted; mater; manganese nickel; manganese; layer was composed; laser surface melting; laser surface alloying; laser processing parameters; laser processing; junctions; higher al; heterogeneous; fracture mode; fold; eng; deionized water; deionized; contributing; coat; bronze; brittle fracture; attempted; apart; alloyed mab; al content; al alloyed; processing parameters; morphological; initiation; employing; consistent; brittle; layer; hand; enhancement; appropriate; higher; major; cracks; single; pores; period; samples; enhance; degree; composed; sites; previous; multi; grain; nickel; damage; alloying; melting; larger; phase; free; fine; employed; aluminum powder; microstructural; improve; grains; fracture; surface,English,"Cheng, FT (reprint author), Hong Kong Polytech Univ, Dept Appl Phys, Kowloon, Hong Kong, Peoples R China.",8,0,ELSEVIER SCIENCE SA,J,17,,,,,,SURF COAT TECH,200,LAUSANNE,INDENTATION; RESISTANCE,24-Jan,"Tang, CH; Cheng, FT; Man, HC",,"PO BOX 564, 1001 LAUSANNE, SWITZERLAND",8,,"Tang, CH; Cheng, FT; Man, HC",,N/A,,,,010NT,,"Hong Kong Polytech Univ, Dept Appl Phys, Kowloon, Hong Kong, Peoples R China; Hong Kong Polytech Univ, Dept Ind & Syst Engn, Kowloon, Hong Kong, Peoples R China",2602,,Surf. Coat. Technol.,8,,,,WOS:000235202100003,Article,Materials Science; Physics,,,,"Materials Science, Coatings & Films; Physics, Applied",manganese-nickel-aluminium-bronze; laser surface alloying; cavitation erosion; damage morphology; hardness-to-elasticity ratio,0257-8972,SURFACE & COATINGS TECHNOLOGY,10.1016/j.surfcoat.2004.12.021,21,apaftche@polyu.edu.hk,,1-Jan-06,,,,2609,,,22
9,Reaction of aluminum powder with water in cement-containing refractory castables,exposure / laboratory / industry / promoting / moisture / filling / experiments were conducted / dust,exposure / laboratory / industry / promoting / moisture / recovery / filling / experiments were conducted,laboratory / cement / passenger vehicles / experiments were conducted,2.909334619,0.904494904,0.82172942,neutral,,2975,9,10,,,,,0.00275297,,,0.002646802,,0.333333333,9,N/A,cement; aluminum powder; kinetics; oxidation; carbon; reacts; prevent; play; permeability; open porosity; limiting; investigating; inhibit; high temperatures; graphite; generating; forces; explosive; expected to increase; driving; desirable; describe; comprehensive; chemistry; article aims; aqueous solution; aims; reaction; hand; crucial; appropriate; understanding; remains; major; involved; factors; expected; steps; open; minimum; aqueous; article; role; microstructure; gas; forming; case; determine; porosity; application; mechanisms; applications; amount; proposed; powder; processing; model; solution; temperatures; paper; metal; rate; materials; increase; observed; al; aluminum; high,English,"Studart, AR (reprint author), ETHZ, Swiss Fed Inst Technol, Dept Mat, CH-8092 Zurich, Switzerland.",9,1,ELSEVIER SCI LTD,J,17,,,,,,J EUR CERAM SOC,25,OXFORD,CORROSION; DISSOLUTION; MECHANISM; KINETICS,AUG,"Studart, AR; Innocentini, MDM; Oliveira, IR; Pandolfelli, VC","Studart, Andre/A-2550-2008; Innocentini, Murilo/B-8775-2012","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",9,,"Studart, AR; Innocentini, MDM; Oliveira, IR; Pandolfelli, VC",,N/A,,,,950VG,,"ETHZ, Swiss Fed Inst Technol, Dept Mat, CH-8092 Zurich, Switzerland; Univ Fed Sao Carlos, Dept Mat Engn, BR-13565905 Sao Carlos, SP, Brazil",3135,,J. European Ceram. Soc.,13,,,,WOS:000230885700006,Article,Materials Science,,,,"Materials Science, Ceramics",Al powder; corrosion; cement; refractory castables; castables,0955-2219,JOURNAL OF THE EUROPEAN CERAMIC SOCIETY,10.1016/j.jeurceramsoc.2004.07.004,21,andre.studart@mat.ethz.ch,,1-Jan-05,,,,3143,,,15
