"Node ID","Story Title","Story URL","Snippet","Published Count","Earliest Published","Latest Published","All Articles in Story","Social Engagement","Word Count","Clusters 0","Clusters 1","Clusters 2","Company (Primary Mention)","Companies (Any Mention)","Institution (Primary Mention)","Institutions (Any Mention)","Person (Primary Mention)","People (Any Mention)","Keyword - Field Specific (Primary Mention)","Keywords - Field Specific (Any Mention)","Location (Primary Mention)","Locations (Any Mention)","Other (Primary Mention)","Extracted Other (Any Mention)","Entity (Primary Mention)","Topics","Sentiment Summary","Sentiment Combined Score","Sentiment Positive Score","Sentiment Negative Score","Extracted Entity Latitude","Extracted Entity Longitude","Source","Source Publisher","Source Genre","Source Category","Source Rank","Source Country","Source Sub Region","Source Region","Sources","Reporter","Keywords - General (Any Mention)","Degree","Flow","Betweenness Centrality","Triangles","Pagerank","Inter-Cluster Connectivity","Tags"
"0","Ireland can benefit from Brexit folly - AIB's Pym","http://ct.moreover.com/?a=28500590394&p=1h3&v=1&x=azWpnwv-Gf69RjJ_wIHa0g","AIB Chairman Richard Pym said the Brexit campaign had been led by 'a group of chancers and opportunists' 

AIB chairman Richard Pym has said that Ireland is in a unique position to benefit from the ""f","1","Nov 4, 2016","Nov 4, 2016","Ireland can benefit from Brexit folly - AIB's Pym (RTE Online : Radio Telefis Eireann) (http://ct.moreover.com/?a=28500590394&p=1h3&v=1&x=azWpnwv-Gf69RjJ_wIHa0g)","34","438","bank / location / ida ireland / regulatory","regulatory / location / ida ireland / frankfurt","estimates / economic effects / financial services sector / require sudden regulatory","Arab International Bank","Arab International Bank (http://dbpedia.org/resource/Arab_International_Bank)","Association Of Issuing Bodies","Association Of Issuing Bodies (http://dbpedia.org/resource/Association_of_Issuing_Bodies); Association Of European Journalists Congress; European Union (http://dbpedia.org/resource/European_Union)","Richard Pym","Richard Pym; Wile E Coyote","Inflation Rates","Inflation Rates","Republic Of Ireland","Republic Of Ireland (http://www.irlgov.ie/); Northern Ireland; England (http://www.direct.gov.uk/); Kilkenny (http://www.kilkennycity.ie); United Kingdom (http://www.royal.gov.uk/); London (http://www.london.gov.uk/); America; Britain","3%","3%","Richard Pym","Banking","neutral","-0.03075239051151124","3.2626571257538757","2.379096355139731","53.344166666666666","-6.2675","RTE Online","Radio Telefis Eireann","General","National & Int'l","2","Ireland","Northern Europe","Europe","RTE Online","","pym; aib chairman; aib; chairman richard pym; aib chairman richard; opportunists; richard pym; chairman richard; chancers and opportunists; group of chancers; chancers; runner; kilkenny; richard; brexit campaign; folly; chairman; closed doors; northern ireland citizens; fuel; ireland can benefit; encourage uk; brexit folly; anchored; northern ireland's economy; citizens to work; ireland is open; continued growth; infrastructure and housing; carries; british citizen; madness; pays; position to benefit; open for business; improvements; northern ireland economy; britain continues; depreciation; chairing; badly hit; today's gathering; subsidies; clothing; chase; irish bank; spreads; incentive; ireland citizens; chasing; remit; encourage; surprised; disproportionately; journalists; private sector; doors; poor; led; uk economy; gravity; road; continues; economic effects; pound; ireland economy; citizen; closed; victory; rising; attractive location; benefit from brexit; benefit; ireland's economy; dependent; congress; preparation; momentum; gathering; adding; inflation; campaign; forecast; active; figure; badly; taxes; rates; edge; explained; economically; spending; predicted; optimistic; america; family; housing; cliff; private; inevitable","5","0.0009567026811450724","1129","4","0.0011556963894995536","0",""
"1","Top economist warns ‘Hard Brexit’ could cost Ireland up to 40,000 jobs","http://ct.moreover.com/?a=30456911875&p=1h3&v=1&x=_xJVdn_J4xY1_igaFEZdjA","A top economist has warned that a ‘Hard Brexit’ could cost Ireland up to 40,000 jobs. 
 
Central Bank official Gabriel Fagan said Ireland is more reliant on UK export markets that any other EU country","1","May 4, 2017","May 4, 2017","Top economist warns ‘Hard Brexit’ could cost Ireland up to 40,000 jobs (Irish Mirror : None) (http://ct.moreover.com/?a=30456911875&p=1h3&v=1&x=_xJVdn_J4xY1_igaFEZdjA)","0","330","bank / location / ida ireland / regulatory","regulatory / location / ida ireland / frankfurt","estimates / economic effects / financial services sector / require sudden regulatory","Esri","Esri (http://dbpedia.org/resource/Esri)","European Union","European Union (http://dbpedia.org/resource/European_Union); Seanad Special Select Committee; Department Of Finance","Gabriel Fagan","Gabriel Fagan","Financial Services","Financial Services; Central Bank","England","England (http://www.direct.gov.uk/); Ireland; Britain; Republic Of Ireland (http://www.irlgov.ie/); Europe (http://dbpedia.org/resource/Europe); United Kingdom (http://www.royal.gov.uk/)","10 Years","10 Years","Gabriel Fagan","EU; Politics","neutral","-0.18587049745945916","2.4260297446172046","2.06587316738969","53.344166666666666","-6.2675","Irish Mirror","","General","National & Int'l","3","Ireland","Northern Europe","Europe","Irish Mirror","","fagan; top economist; harmonised; brexit could cost; cost ireland; supervision; regulation; fewer; employed; establishing; compete; require sudden; require sudden regulatory; bank official; adopting lax regulation; warns hard brexit; countries and establishing; lower by pc; supervisory; regulators are unable; establishing trade; compete in terms; supervision or regulation; organisation tariffs; terms of taxation; tariffs on trade; fagan said eu; adopting lax; attract business; uk export; establishing laws; scope; companies as supervision; passporting rights; sudden regulatory; benchmark; regulatory and financial; advantages to attract; changing or adopting; trade organisation tariffs; countries can compete; economist warns; business by changing; europe to attract; benchmark no brexit; regulatory advantages; warns hard; central bank official; financial adjustments; harmonised across europe; economist has warned; eu regulators; lax; supervisory authority; period of heightened; attract companies; establishing trade deals; heightened uncertainty; associated with eu; lax regulation; special select; special select committee; heightened; export markets; full control; dimensions; unable; told the seanad; seanad special; seanad special select; adjustments; gabriel fagan; eu country; economist; accompanied; trade between ireland; uk financial; regulators; gabriel; scenario; adopting; passporting; brexit scenario; estimate; sudden; attract; reliant; select; select committee; financial services sector; services sector; laws; advantages; cost; regulatory; explained; esri; estimates; trade deals; top","7","0.0015015296476101909","0","16","0.0016305978479800366","0",""
"2","Key agencies department leading Brexit preparations fill just 17 of 70 positions","https://i.quid.com/news/article/MSxtby1sbi0zMTc1MDkzMzUzOCwzNjkw.html","Jobs Minister Frances Fitzgerald's failure to fill Brexit roles, with just one in four recruited, has been criticised as firms face an ""existential crisis"" with Britain's EU exit on the horizon, write","1","Sep 6, 2017","Sep 6, 2017","Key agencies department leading Brexit preparations fill just 17 of 70 positions (Breaking News.ie : None) (http://ct.moreover.com/?a=31750933538&p=253&v=1&x=tmXUYkDbH6W1H96nc4qP3A)","","384","science foundation ireland / department of jobs / health and safety / safety authority","science foundation ireland / department of jobs / health and safety / safety authority","science foundation ireland / department of jobs / health and safety / safety authority","Enterprise Ireland","Enterprise Ireland","Science Foundation Ireland","Science Foundation Ireland; Canada (http://www.gc.ca); Enterprise Ireland; Health And Safety Authority (http://dbpedia.org/resource/Health_and_Safety_Authority); Department Of Jobs","Ida Ireland","Ida Ireland; Ms Fitzgerald; Minister Frances Fitzgerald; Fianna Fáil; John Curran (irish Politician) (http://www.johncurrantd.com/); Juno Mcenroe","Brexit","Brexit","Britain","Britain; EU","Irish Examiner","Irish Examiner (http://www.irishexaminer.ie/); 60%; 3m","Enterprise Ireland","Advertising","negative","-0.6584085281196557","2.27420067641499","3.1063971360330536","45.4","-75.66666666666667","Breaking News.ie","","","National & Int'l","3","Ireland","Northern Europe","Europe","Breaking News.ie","","fill; filled; roles; curran; key agencies; fill roles; existential; fitzgerald confirmed; trade barriers; department leading; existential crisis; health and safety; horizon; foundation ireland; safety authority; science foundation ireland; science foundation; recruit; fitzgerald; science; positions; foundation; irish business; agencies; safety; staff; preparations; ida; jobs minister frances; tackle brexit; business interests; advertised; third of enterprise; confirmed that science; leading brexit preparations; work on brexit; employers preparing; focused on brexit; investment targets; unfilled; main state vehicles; brexit unfilled; fitzgerald revealed; parliamentary answer; fianna fáil source; failing to fill; agencies department; agencies department leading; battling brexit; key agencies department; brexit and fill; ida roles; ticking towards brexit; leading brexit; department leading preparations; crisis with brexit; predicted were needed; recruit staff; fore in preparing; vehicles for supporting; confirmed enterprise ireland; irish sme's exports; preparations fill; fitzgerald confirmed enterprise; tariffs or trade; written parliamentary; britain's eu exit; crucial in protecting; brexit positions; protecting irish; seeking another staff; smes and foreign; staple; facing an existential; despite getting millions; three brexit staff; specific posts; minister frances; prepare irish business; fáil's john; foreign companies; interests post; order to win; threat of brexit; brexit have filled; result of potential; brexit related positions; john curran; linked to brexit; millions of euro; potential tariffs; vehicles; supporting irish; difficult and expensive; wait any longer; roles focused; failure to fill; brexit roles; millions; protecting irish business","5","0.0011081845256097353","0","10","0.0016638946534887275","0",""
"3","Budget 2018 ‘must see proactive measures to protect rural Ireland from Brexit’ – Kenny","http://ct.moreover.com/?a=31947955774&p=1h3&v=1&x=57LbndwnP-6P-tKQ9Pe5mA","- by Martin Kenny TD 
 
In publishing Sinn Féin’s rural Ireland Budget proposals, Agriculture spokesperson Martin Kenny TD has said that, in the face of Brexit, Irish farming and rural communities mus","1","Sep 25, 2017","Sep 25, 2017","Budget 2018 ‘must see proactive measures to protect rural Ireland from Brexit’ – Kenny (Sinn Fein : None) (http://ct.moreover.com/?a=31947955774&p=1h3&v=1&x=57LbndwnP-6P-tKQ9Pe5mA)","8","444","designated / david cullinane td / sinn féin mep / designated special status","sinn féin / designated / designated special status / david cullinane td","sinn / sinn féin / ignoring / féin","Drink Industry","Drink Industry","Brexit Support Fund","Brexit Support Fund; Oireachtas (http://www.oireachtas.ie/); European Union (http://dbpedia.org/resource/European_Union)","Sinn Féin","Sinn Féin; Martin Kenny Td; Martin Kenny; Bord Bia","Brexit","Brexit; Public Services","Republic Of Ireland","Republic Of Ireland (http://www.irlgov.ie/)","Government","Government","Sinn Féin","EU","positive","0.785235692184217","4.561233523974141","1.4707666774612054","53.344166666666666","-6.2675","Sinn Fein","","General","Trade & Research","3","Ireland","Northern Europe","Europe","Sinn Fein","","small businesses; farming communities; rural communities; rural ireland; assist small businesses; businesses and farmers; support fund; kenny td; proactive; assist small; flood; rural; assessing; farming; proposing; communities; quality; designed; vision; fund; sligo leitrim; rural post offices; fairness; td for sligo; brexit kenny; matched; irish farming; face of brexit; shadow of brexit; address the challenges; bolstering; live and work; post offices; libraries; protect the interests; interests of citizens; union in order; reinforced; féin will continue; publishing; mitigation; stated that brexit; place to live; serious threats; face particular challenges; straddle; agri food industry; precious; full impact; national and european; rural post; harming; called for special; assist; budget; towns; protect rural; european level; drink industry; equality; expansion; agriculture sector; report published; challenges faced; ireland from brexit; devastating; farmers; order to protect; leitrim; sligo; shadow; arguing; measures; consistently; food and drink; prioritised; food industry; small; garda; irish food; féin; sinn féin; preparing; public services; note; agriculture; bia; bord; assistance; bord bia; drink; establishment; td; martin; programmes; order; offices; sinn; works; standing","8","0.0015246822170552478","449","13","0.0012867964440682745","0",""
"4","Brexit, Ukip and Ireland's 'real friends'","https://i.quid.com/news/article/MSxtby1sbi0zMDUxNDc3NTM5MCwzNjkw.html","Sir, - With his ""100 years on from 1916"" remark, Nigel Farage is quite clearly attempting to draw a parallel between Ireland's struggle for independence and Brexit (""Ireland should remember who its re","2","May 9, 2017","May 9, 2017","Brexit, Ukip and Ireland’s ‘real friends’ (Irish Times : Irish Times Trust) (http://ct.moreover.com/?a=30513235705&p=1h3&v=1&x=ovw7lyIjJvKajrM63SSmLw); Brexit, Ukip and Ireland's 'real friends' (The Irish Times : None) (http://ct.moreover.com/?a=30514775390&p=253&v=1&x=kGLy5IBo1TTPMjH2q6j6Ew)","88","316","exchange / stayed / grand / store","policy exchange / stayed / grand / store","arguments and muddled / deal from brexit / sir / macron in france","","","European Union","European Union (http://dbpedia.org/resource/European_Union); Leiden University College; Faculty Of Governance","Nigel Farage","Nigel Farage (http://www.nigelfaragemep.co.uk/); Barry Flanagan (http://dbpedia.org/resource/Barry_Flanagan); Dr Je Larik","Brexit","Brexit; Free Trade","Ireland","Ireland; United Kingdom (http://www.royal.gov.uk/); Britain; Dublin","Global Affairs","Global Affairs; 100 Years; 50; 1916","European Union","EU; Politics","neutral","0.0045251578035816475","3.789758015974996","2.6676646345134114","51.5","-0.11666666666666667","The Irish Times","","","National & Int'l","1","Ireland","Northern Europe","Europe","Irish Times; The Irish Times","","real friends; farage; turning; nigel farage; sir; nigel; friends; university college; violent; fanning; readers; inflicted; political violence; opinion analysis; throwing; attempting; equate; fanning the flames; remark; flames; withdrawing; flames of political; process of withdrawing; mere; governance; selfish; open borders; crusade; greatest threat; parallel; ireland should remember; councillor; easily; struggle; internal market; regulated; punitive tariffs; hague; barry; reduced; economic and political; choosing; uk irish relations; political stability; exists; punitive; empire; ukip; disastrous; including ireland; excellent; collateral damage; peace and prosperity; divisive; draw; collateral; impose; zone; legally; friend; uk irish; remember; irish relations; pose; completely; college; internal; damage; free trade; peaceful; violence; real; writes; independence; justice; complete; university; speak; fear; mps; thing; greatest; prosperity; faces; stability; responsibility; analysis; security; free; flanagan; clearly; free movement; opinion; role; peace; tariffs; relations; threat; borders; currently","7","0.0014233507831795018","569","10","0.0014820016371935123","0.1428571428571429",""
"5","Fight is on to protect the north from Brexit – Cullinane","http://ct.moreover.com/?a=32085358547&p=1h3&v=1&x=eX73P-0quMlf7gnxhcPfYA","- by David Cullinane TD 
 
Sinn Féin TD David Cullinane said today that the fight is on to ensure the north is protected from Brexit and that there is no return to a border on the island of Ireland. 
","1","Oct 8, 2017","Oct 8, 2017","Fight is on to protect the north from Brexit – Cullinane (Sinn Fein : None) (http://ct.moreover.com/?a=32085358547&p=1h3&v=1&x=eX73P-0quMlf7gnxhcPfYA)","42","258","designated / david cullinane td / sinn féin mep / designated special status","sinn féin / designated / designated special status / david cullinane td","david cullinane td / special designated status / brexit david cullinane / sinn féin spokesperson","","","European Union","European Union (http://dbpedia.org/resource/European_Union); European Court Of Human Rights (http://echr.coe.int); European Court Of Justice (http://curia.europa.eu/jcms/jcms/Jo2_7024/); EU.","Sinn Féin Brexit","Sinn Féin Brexit; Sinn Féin; David Cullinane Td; David Cullinane (http://dbpedia.org/resource/David_Cullinane)","Brexit","Brexit","Ireland","Ireland; Britain","","","Sinn Féin Brexit","EU","positive","1.3616154175450865","4.785011700862571","0.8670136680157576","48.596389","7.774167","Sinn Fein","","General","Trade & Research","3","Ireland","Northern Europe","Europe","Sinn Fein","","protect the north; protected from brexit; ensure the north; cullinane; david cullinane; fight; european court; protected; sinn féin believes; féin brexit; brexit cullinane; féin believes; direct access; plan to protect; sinn féin brexit; waterford td; féin brexit spokesperson; continued direct; continued direct access; eu funds; sinn féin td; court of human; brexit decision; féin td; payments; brexit spokesperson; choosing; waterford; david; cullinane td; david cullinane td; human rights; court of justice; td; completely; rights of eu; eu nationals; court; access to eu; human; demands; féin; sinn féin; nationals; special designated status; special designated; designated status; reform; funds; north of ireland; justice; island of ireland; britain and ireland; open border; sinn; protect; return; parts; spokesperson; ensure; rights; access; continued; solution; designated; free movement; believes; happen; north; maintain; island; special; direct; movement; plan; open; case; decision; status; friday agreement; good friday agreement; free; remain; good friday; today; friday; good; agreement","13","0.0030113670763898103","6","44","0.002220138324044741","0",""
"6","Fitch maintains A rating for Ireland, citing Brexit risks","https://i.quid.com/news/article/MSxtby1sbi0yOTIyNjk4OTY2OSwzNjkw.html","Fitch, one of the world's three leading credit rating firms, stuck to its A rating on Ireland last night, saying while economy and State's finances are rapidly improving, risks surrounding Brexit and ","3","Jan 13, 2017","Jan 13, 2017","Fitch leaves Irish rating untouched, warns of Brexit risk (Irish Times : Irish Times Trust) (http://ct.moreover.com/?a=29224368536&p=1h3&v=1&x=-oTq_suSQ5z3L5yGdrmGUA); Fitch maintains A rating for Ireland, citing Brexit risks (The Irish Times : None) (http://ct.moreover.com/?a=29226989669&p=253&v=1&x=mmh23BGGyNdeOZqf1gStdA); Fitch leaves Irish rating untouched, warns of Brexit risk (Editors Picks Feed : None) (http://ct.moreover.com/?a=29224825453&p=1it&v=1&x=BLHHUXJEATkTnSAcZRK7Eg)","60","237","bank / location / ida ireland / regulatory","regulatory / location / ida ireland / frankfurt","estimates / economic effects / financial services sector / require sudden regulatory","Fitch Group","Fitch Group (http://dbpedia.org/resource/Fitch_Group); Standard & Poor's (http://www.standardandpoors.com)","European Union","European Union (http://dbpedia.org/resource/European_Union)","Donald Trump","Donald Trump (http://www.trumponline.com/)","Credit Rating","Credit Rating; Corporate Tax; Brexit","Ireland","Ireland; Europe (http://dbpedia.org/resource/Europe); Moody; United States (http://www.usa.gov/); United Kingdom (http://www.royal.gov.uk/)","Two Decades","Two Decades","Credit Rating","EU; General Finance","neutral","0.09255002111582261","3.3134765793363234","2.135870630183307","51.5","-0.11666666666666667","The Irish Times","","","National & Int'l","1","Ireland","Northern Europe","Europe","Irish Times; The Irish Times; Editors Picks Feed","Joe Brennan","rating; fitch; credit rating; aaa; ratings; credit; rapidly; market raises; brexit risks; wealthy; downside risk; tax policies; world's three; stuck; single market raises; onset; changes to corporate; cent of gdp; irelands; vowed; ranks; policies; gross; tax regime; mobility; eur billion; downside; eur; bailout; rival; surrounding brexit; improving; corporate; citing; maintains; fell; finances; eventually; standard; multinationals; risks; stable; sovereign; helped; likelihood; debt; raises; eu single; eu single market; rates; fiscal; donald trump; cent; tax; estimates; surrounding; pressure; regime; model; stands; levels; gdp; uk leaving; corporate tax; competition; lower; face; night; barriers; flexible; decades; apply; stance; increased; supported; banking; agencies; crisis; low; changes; biggest; trump; attract; adding; institutions; donald; leaving the eu; step; billion; election; partner; leading; top; main; global; risk; strong; economy; three; leaving","9","0.0017632810864708969","2894","11","0.0018420922119717256","0.2222222222222222",""
"7","John Bruton says Ireland needs to try to stop Brexit happening","http://ct.moreover.com/?a=31406898405&p=1h3&v=1&x=bfgkww39VwX1-6lZ1IgdBw","Former Taoiseach Bruton says British need to ‘lay their cards on the table’     
Former taoiseach John Bruton has hit out at both the Democratic Unionist Party (DUP) and the British government over th","1","Aug 3, 2017","Aug 3, 2017","John Bruton says Ireland needs to try to stop Brexit happening (Irish Times : Irish Times Trust) (http://ct.moreover.com/?a=31406898405&p=1h3&v=1&x=bfgkww39VwX1-6lZ1IgdBw)","417","597","sinn / party / varadkar / stormont","sinn / party / dup / gerry adams","varadkar / democratic unionist / leo / restore power sharing","","","Democratic Unionist Party","Democratic Unionist Party (http://www.dup.org.uk/); British Government; European Union (http://dbpedia.org/resource/European_Union)","John Bruton","John Bruton (http://www.johnbruton.com); Leo Varadkar (http://www.leovaradkar.ie/); Arlene Foster (http://www.dup.org.uk/MyProfile.asp?MemberID=12)","Brexit","Brexit","Northern Ireland","Northern Ireland; United Kingdom (http://www.royal.gov.uk/); Dublin (http://www.dublincity.ie); Belfast (http://www.belfastcity.gov.uk/); Europe (http://dbpedia.org/resource/Europe); United States (http://www.usa.gov/); Scotland","Three Years","Three Years","John Bruton","Politics","neutral","0.039595478093698566","2.647955919668858","1.799698089739648","51.5","-0.11666666666666667","Irish Times","Irish Times Trust","General","National & Int'l","1","Ireland","Northern Europe","Europe","Irish Times","Vivienne Clarke","bruton; john bruton; sort of brexit; allegiances; debates; three years ago; happening; lay; sets; nationalists; cards; sort; legislation; helpful; brexit legislation; northern ireland politics; respectful; living in northern; government in dublin; listen to inside; opinion in northern; finding solutions; hard questions; ways forward; taoiseach john; sort of agricultural; arose; inside politics; good idea; initiated brexit; deepening; relation to northern; taoiseach john bruton; overruled; convince; ireland politics; dublin last week; amendments; taoiseach's visit; opinion in scotland; irish case; change their opinion; handling of brexit; irish allegiances; design a border; platitudes; agricultural policy; interventions; initiated; dup; ireland's leading; varadkar; leader arlene foster; talked; dup leader arlene; advised; frustration; leader arlene; idea; opinion; trade relations; rté's morning; brexit plans; rté's morning ireland; told reporters; table; john; dup leader; handling; questions; morning ireland; listen; ideas; agriculture; reporters; trade agreements; politics; design; answers; november; finding; tensions; inside; voters; solutions; democratic unionist party; treated; reflect; forward; agricultural; decide; answer; brexiteers; ambassador; front; indicated; democratic unionist; ago; unionist party; arlene foster","10","0.00215711614178941","89","22","0.001966567445219656","0",""
"8","Ireland in need of experienced Irish project managers as Brexit looms, survey finds","https://i.quid.com/news/article/MSxtby1sbi0zMDA3MTc2ODU0MCwzNjkw.html","Project management (PM) leaders fear a Brexit skills shortage, according to a survey by the Ireland Chapter of Project Management Institute (PMI).

The findings on the potential implications of Brexit","5","Mar 30, 2017","Mar 30, 2017","Survey finds 60% of Irish project management leaders fear skills shortage ahead of Brexit (Irish Tech News : None) (http://ct.moreover.com/?a=30068147331&p=1h3&v=1&x=L2D77gJMtI4l0oQdQ4rpUQ); Ireland in need of experienced Irish project managers as Brexit looms, survey finds (Breaking News.ie : None) (http://ct.moreover.com/?a=30071569763&p=1h3&v=1&x=CcdXuQbtcS6t1Go193LBdg); Ireland in need of experienced Irish project managers as Brexit looms, survey finds (Irish Examiner : None) (http://ct.moreover.com/?a=30071625468&p=1h3&v=1&x=LNosp4gScoFLBQVv1ZwE3A); Ireland in need of experienced Irish project managers as Brexit looms, survey finds (Breaking News.ie : None) (http://ct.moreover.com/?a=30071768540&p=253&v=1&x=xJlssEnsJXYO_N2wQoJR_g); Ireland in need of experienced Irish project managers as Brexit looms, survey finds (Breaking News.ie : None) (http://ct.moreover.com/?a=30075397374&p=253&v=1&x=ghSoV1sh9Dey_cCCsShghg)","365","335","project management institute / annual national conference / challenge in changing / project managers","project management institute / annual national conference / challenge in changing / project managers","project management institute / annual national conference / challenge in changing / project managers","Philip Morris International","Philip Morris International (http://www.philipmorrisinternational.com); Pricewaterhousecoopers (http://www.pwc.com); Microsoft (http://www.microsoft.com/worldwide/)","Project Management Institute","Project Management Institute (http://www.pmi.org/)","Cathriona Hallahan","Cathriona Hallahan; Niall Murphy; Féilim Harvey","Brexit","Brexit; Financial Services","Ireland","Ireland; Britain","Aviva Stadium","Aviva Stadium (http://www.avivastadium.ie); 66.67%; 60%; 70%; Two Years; 12 Months","Ireland","EU; Construction","neutral","0.0738760937551391","3.8436985217045065","2.5243544728380276","53.33513888888889","-6.2283333333333335","Breaking News.ie","","","National & Int'l","3","Ireland","Northern Europe","Europe","Irish Tech News; Breaking News.ie; Irish Examiner","","project management; project managers; pmi; shortage; project; experienced; projects; managers; pm; skills; management; pmi president niall; president niall murphy; close economic ties; changing times; president niall; féilim harvey; féilim; respondents expect; theme challenge; fulfil; annual national; project management institute; cathriona; including cathriona hallahan; harvey; pm conference; ireland revealed; pmi president; potential implications; national conference; management institute; cathriona hallahan; major financial; partner in pwc; director of microsoft; niall murphy; mounting; experts in project; deficiency; aviva stadium; microsoft ireland; pharmaceuticals and manufacturing; underestimate; future trading relationships; uncharted territory; uncharted; challenge in changing; hallahan; annual national conference; expect brexit; including cathriona; microsoft; implications of brexit; stadium; economic ties; aviva; managing; navigating; close economic; gap; evident; complexity; survey; managing director; finds; takes place; trading relationships; strategies; registration; anticipate; looms; theme; pharmaceuticals; future trading; worrying; brexit for ireland; skilled; territory; surveyed; public sector; findings; financial institutions; respondents; british market; triggering article; conference; implications; nationwide; employed; highlights; construction; changing; pwc; concern; niall; sufficient; resources; manufacturing; industries","3","0.0007359931800859518","0","3","0.0016486413456961654","0",""
"9","Brexit deal 'must have united Ireland clause'","https://i.quid.com/news/article/MSxtby1sbi0yOTY5MTExNjg3MiwzNjkw.html","Mr Kenny outlined the controversial position at a crunch meeting with European Commission president Jean-Claude Juncker in Brussels yesterday.

Speaking at a joint press conference which also heard Mr","2","Feb 23, 2017","Feb 23, 2017","Brexit deal ‘must have united Ireland clause’ (Irish Examiner : None) (http://ct.moreover.com/?a=29690601026&p=1h3&v=1&x=qWfV4kp0HwJa_dAlW8GYXw); Brexit deal 'must have united Ireland clause' (Irish Examiner : None) (http://ct.moreover.com/?a=29691116872&p=253&v=1&x=qQPSwBRyoKANYGslQaDACg)","1","430","united ireland / jean claude / commission president jean / borders between northern","united ireland / jean claude / commission president jean / borders between northern","jean claude / united ireland clause / commission president jean / borders between northern","","","European Union","European Union (http://dbpedia.org/resource/European_Union); European Commission; Ulster Unionist Party (http://www.uup.org/)","Mr Kenny","Mr Kenny; Jean-claude Juncker (http://www.gouvernement.lu/gouvernement/premier-ministre/en/index.html); Mr Juncker; Sinn Fein; Gerry Adams (http://sinnfein.ie/elections/candidate/53)","Election Campaign","Election Campaign","Northern Ireland","Northern Ireland; United Ireland; Republic Of Ireland (http://www.irlgov.ie/); Brussels (http://portail.irisnet.be/en/home/home.shtml); West Germany (http://dbpedia.org/resource/West_Germany)","White House","White House","Mr Kenny","EU","positive","0.5120317010300159","3.8047563615075033","1.6122757122132019","53.344166666666666","-6.2675","Irish Examiner","","","National & Int'l","3","Ireland","Northern Europe","Europe","Irish Examiner","","united ireland clause; early april; ireland clause; represent ireland; indication; juncker; contained; clause; reporters; kenny outlined; controversial; welcomed by sinn; clearest indication; brexit treaty; signing a separate; future brexit; crunch; separate treaty; future brexit treaty; poem; east and west; brussels next week; intends to represent; previous comments; negotiation outcome; brussels yesterday; don; heavily criticised; brexit strategy; treaty; negotiated; language; white house; represent; kick; returning; clearest; election campaign; uup; negotiated treaty; language inserted; signing; west germany; post brexit border; borders between northern; negotiated outcome; inserted; citing; access to join; ease of access; told reporters; intends; brexit border; enable; united ireland; hard borders; april; european commission president; occur; avoided; eu leaders; president jean; commission president jean; declined; invisible; president jean claude; republic and northern; white; early; criticised; confirm; yesterday; commission president; comment; jean claude juncker; claude juncker; keeping; press conference; claude; jean claude; planned; gerry adams; speaks; ease; heavily; sinn fein; fein; successful; allowing; issued; hopes; adams; jean; previous; night; enter; separate; simply; eu uk; sought","10","0.0023985653642889697","0","37","0.001821533583974168","0",""
